cluster a: language,cluster b: ontology,cluster c: reality,cluster d: mind,cluster e: on language,relations
abstract_singular_term,abstract_object,context,conceptual_scheme,canonical_notation,commitment_to
abstract_term,class,modulus,prelinguistic_quality_space,paraphrase,negative_stimulus_meaning
adjective,concrete_object,operant_behavior,,concatenation,affirmative_stimulus_meaning
article,physical_object,phoneme,,concretion,analytic_stimulus_meaning
definite_article,ideal_object,stimulus,,conditional,stimulus_meaning
indefinite_article,geometrical_object,stimulation,,conjunction,idea
mass_term,material,,,connective,stimulus_synonymy
demonstrative,object,,,construction,assent
description,ordinary_enduring_middle-sized_physical_object,,,contradiction,commitment
general_term,particle,,,copula,denotation
singular_term,particular,,,form,true_of
definite_singular_term,physical_thing,,,function,refer
indefinite_singular_term,scattered_object,,,quantification,designate
eternal_sentence,,,,quantifier,conditioning
indicator_word,,,,quotational,learning
name,,,,predication,reinforcement
noun,,,,plural,conservatism
relative_term,,,,,conservatism
substantive,,,,regimentation,definition
observation_sentence,,,,elimination,definition
occasion_sentence,,,,explication,cumulative_reference
open_sentence,,,,linguistic_form,
pronoun,,,,logic,divided_reference
pronominal_singular_term,,,,syntax,homonymy
relative_clause,,,,variables,indeterminacy_of_translation
relative_pronoun,,,,,intersubjectivity
one-word_sentence,,,,,referential_opacity
word,,,,,ostension
verb,,,,,