cluster a: language;cluster b: ontology;cluster c: reality;cluster d: mind;cluster e: on language;relational: regimentation;relational: reference
abstract_singular_term;abstract_object;context;conceptual_scheme;canonical_notation;general_term;general_term
abstract_term;class;modulus;prelinguistic_quality_space;paraphrase;singular_term;singular_term
adjective;concrete_object;operant_behavior;;concatenation;name;physical_thing
article;physical_object;phoneme;;concretion;noun;abstract_object
definite_article;ideal_object;stimulus;;conditional;pronoun;concrete_object
indefinite_article;geometrical_object;stimulation;;conjunction;relative_clause;physical_object
mass_term;material;;;connective;word;ideal_object
demonstrative;object;;;construction;verb;geometrical_object
description;ordinary_enduring_middle-sized_physical_object;;;contradiction;canonical_notation;object
general_term;particle;;;copula;paraphrase;ordinary_enduring_middle-sized_physical_object
singular_term;particular;;;form;concatenation;scattered_object
definite_singular_term;physical_thing;;;function;conditional;abstract_singular_term
indefinite_singular_term;scattered_object;;;quantification;connective;abstract_term
eternal_sentence;;;;quantifier;construction;mass_term
indicator_word;;;;quotational;copula;definite_singular_term
name;;;;predication;form;indefinite_singular_term
noun;;;;plural;function;one-word_sentence
relative_term;;;;;quantification;
substantive;;;;regimentation;quantifier;
observation_sentence;;;;elimination;quotational;
occasion_sentence;;;;explication;predication;
open_sentence;;;;linguistic_form;plural;
pronoun;;;;logic;regimentation;
pronominal_singular_term;;;;syntax;elimination;
relative_clause;;;;variables;linguistic_form;
relative_pronoun;;;;;logic;
one-word_sentence;;;;;variables;
word;;;;;class;
verb;;;;;;